ko	description	ptw_count
K07206	tuberous sclerosis 1	12
K07207	tuberous sclerosis 2	14
K07208	Ras homolog enriched in brain	13
K07209	inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]	49
K07210	inhibitor of nuclear factor kappa-B kinase subunit gamma	41
K07211	inhibitor of nuclear factor kappa-B kinase subunit epsilon [EC:2.7.11.10]	13
K07212	GGDEF domain	0
K07213	copper chaperone	1
K07214	enterochelin esterase and related enzymes	0
K07215	heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]	1
K07216	hemerythrin	0
K07217	Mn-containing catalase	0
K07218	nitrous oxidase accessory protein	0
K07219	putative molybdopterin biosynthesis protein	0
K07220	uncharacterized protein	0
K07221	phosphate-selective porin OprO and OprP	0
K07222	putative flavoprotein involved in K+ transport	0
K07223	putative iron-dependent peroxidase	0
K07224	iron uptake system component EfeO	0
K07225	putative hemin transport protein	0
K07226	heme iron utilization protein	0
K07227	heme iron utilization protein	0
K07228	TrkA domain protein	0
K07229	ferric-chelate reductase (NADPH) [EC:1.16.1.9]	0
K07230	periplasmic iron binding protein	0
K07231	putative iron-regulated protein	0
K07232	glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]	2
K07233	copper resistance protein B	0
K07234	uncharacterized protein involved in response to NO	0
K07235	tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]	1
K07236	tRNA 2-thiouridine synthesizing protein C	1
K07237	tRNA 2-thiouridine synthesizing protein B	1
K07238	zinc transporter, ZIP family	0
K07239	heavy-metal exporter, HME family	0
K07240	chromate transporter	0
K07241	high-affinity nickel-transport protein	0
K07242	putative multicomponent Na+:H+ antiporter subunit B	0
K07243	high-affinity iron transporter	0
K07244	mgtE-like transporter	0
K07245	copper resistance protein D	0
K07246	tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]	2
K07248	lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]	3
K07249	retinal dehydrogenase [EC:1.2.1.36]	2
K07250	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	7
K07251	thiamine kinase [EC:2.7.1.89]	2
K07252	dolichyldiphosphatase [EC:3.6.1.43]	1
K07253	phenylpyruvate tautomerase [EC:5.3.2.1]	2
K07254	tRNA (cytidine56-2-O)-methyltransferase [EC:2.1.1.206]	0
K07255	taurine dehydrogenase small subunit [EC:1.4.2.-]	1
K07256	taurine dehydrogenase large subunit [EC:1.4.2.-]	1
K07257	spore coat polysaccharide biosynthesis protein SpsF	0
K07258	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	2
K07259	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]	1
K07260	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	4
K07261	penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]	0
K07262	serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]	0
K07263	zinc protease [EC:3.4.24.-]	0
K07264	4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]	1
K07265	capsular polysaccharide export protein	0
K07266	capsular polysaccharide export protein	0
K07267	porin	0
K07268	opacity associated protein	0
K07269	uncharacterized protein	0
K07270	glycosyl transferase, family 25	0
K07271	lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]	0
K07272	rhamnosyltransferase [EC:2.4.1.-]	0
K07273	lysozyme	0
K07274	MipA family protein	0
K07275	outer membrane protein	0
K07276	uncharacterized protein	0
K07277	outer membrane protein insertion porin family	0
K07278	translocation and assembly module TamA	0
K07279	autotransporter family porin	0
K07280	outer membrane protein	0
K07281	1L-myo-inositol 1-phosphate cytidylyltransferase [EC:2.7.7.74]	1
K07282	gamma-polyglutamate biosynthesis protein CapA	0
K07283	putative salt-induced outer membrane protein	0
K07284	sortase A [EC:3.4.22.70]	0
K07285	outer membrane lipoprotein	0
K07286	uncharacterized lipoprotein	0
K07287	outer membrane protein assembly factor BamC	0
K07288	uncharacterized membrane protein	0
K07289	AsmA protein	0
K07290	AsmA family protein	0
K07291	CDP-L-myo-inositol myo-inositolphosphotransferase [EC:2.7.8.34]	1
K07292	hepatocyte nuclear factor 4-alpha	2
K07293	tyrosine-protein phosphatase non-receptor type 11 [EC:3.1.3.48]	16
K07294	peroxisome proliferator-activated receptor alpha	7
K07295	nuclear receptor subfamily 2 group A	0
K07296	adiponectin	6
K07297	adiponectin receptor	4
K07298	serine/threonine-protein kinase 11 [EC:2.7.11.1]	8
K07299	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1	11
K07300	Ca2+:H+ antiporter	0
K07301	cation:H+ antiporter	0
K07302	isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]	0
K07303	isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]	0
K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	0
K07305	peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]	0
K07306	anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]	1
K07307	anaerobic dimethyl sulfoxide reductase subunit B (DMSO reductase iron- sulfur subunit)	1
K07308	anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase anchor subunit)	1
K07309	Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]	1
K07310	Tat-targeted selenate reductase subunit YnfF [EC:1.97.1.9]	1
K07311	Tat-targeted selenate reductase subunit YnfG	0
K07312	Tat-targeted selenate reductase subunit YnfH	0
K07313	serine/threonine protein phosphatase 1 [EC:3.1.3.16]	0
K07314	serine/threonine protein phosphatase 2 [EC:3.1.3.16]	0
K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	0
K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	0
K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	0
K07318	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	0
K07319	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	0
K07320	ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]	0
K07321	CO dehydrogenase maturation factor	0
K07322	regulator of cell morphogenesis and NO signaling	0
K07323	phospholipid transport system substrate-binding protein	1
K07324	archaeal flagellin FlaA	0
K07325	archaeal flagellin FlaB	0
K07326	hemolysin activation/secretion protein	1
K07327	archaeal flagellar protein FlaD	0
K07328	archaeal flagellar protein FlaE	0
K07329	archaeal flagellar protein FlaF	0
K07330	archaeal flagellar protein FlaG	0
K07331	archaeal flagellar protein FlaH	0
K07332	archaeal flagellar protein FlaI	0
K07333	archaeal flagellar protein FlaJ	0
K07334	toxin HigB-1	0
K07335	basic membrane protein A and related proteins	0
K07336	PKHD-type hydroxylase [EC:1.14.11.-]	0
K07337	penicillin-binding protein activator	0
K07338	uncharacterized protein	0
K07339	mRNA interferase HicA [EC:3.1.-.-]	0
K07340	inner membrane protein	0
K07341	death on curing protein	0
K07342	protein transport protein SEC61 subunit gamma and related proteins	4
K07343	DNA transformation protein and related proteins	0
K07344	type IV secretion system protein TrbL	1
K07345	major type 1 subunit fimbrin (pilin)	1
K07346	fimbrial chaperone protein	0
K07347	outer membrane usher protein	1
K07348	minor fimbrial subunit	0
K07349	minor fimbrial subunit	0
K07350	minor fimbrial subunit	0
K07351	fimbrial protein	0
K07352	type 1 fimbrial protein	0
K07353	fimbrial chaperone protein	0
K07354	outer membrane usher protein	0
K07355	fimbrial-like protein	0
K07356	fimbrial protein	0
K07357	type 1 fimbriae regulatory protein FimB	0
K07358	type 1 fimbriae regulatory protein FimE	0
K07359	calcium/calmodulin-dependent protein kinase kinase 2 [EC:2.7.11.17]	6
K07360	tyrosine-protein kinase ZAP-70 [EC:2.7.10.2]	7
K07361	lymphocyte cytosolic protein 2	6
K07362	linker for activation of T cells	9
K07363	IL2-inducible T-cell kinase [EC:2.7.10.2]	3
K07364	tyrosine-protein kinase Tec [EC:2.7.10.2]	3
K07365	NCK adaptor protein 1	4
K07366	GRB2-related adaptor protein 2	1
K07367	caspase recruitment domain-containing protein 11	3
K07368	B-cell CLL/lymphoma 10	5
K07369	mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]	5
K07370	Bruton agammaglobulinemia tyrosine kinase [EC:2.7.10.2]	6
K07371	B-cell linker protein	4
K07372	gap junction alpha-1 protein	2
K07373	gap junction delta-2 protein	1
K07374	tubulin alpha	5
K07375	tubulin beta	3
K07376	cGMP-dependent protein kinase 1 [EC:2.7.11.12]	10
K07377	neurexin	1
K07378	neuroligin	1
K07379	contactin associated protein 1	1
K07380	contactin associated protein-like 2	1
K07381	(S)-limonene 6-monooxygenase [EC:1.14.14.51]	3
K07382	(S)-limonene 7-monooxygenase [EC:1.14.14.52]	3
K07384	(-)-alpha/(-)-beta-pinene synthase [EC:4.2.3.119 4.2.3.120]	3
K07385	1,8-cineole synthase [EC:4.2.3.108]	3
K07386	putative endopeptidase [EC:3.4.24.-]	0
K07387	putative metalloprotease [EC:3.4.24.-]	0
K07388	hydrogenase expression/formation protein	0
K07389	cytolysin-activating lysine-acyltransferase [EC:2.3.1.-]	1
K07390	monothiol glutaredoxin	0
K07391	magnesium chelatase family protein	0
K07392	AAA family ATPase	0
K07393	glutathionyl-hydroquinone reductase [EC:1.8.5.7]	0
K07394	SM-20-related protein	0
K07395	putative proteasome-type protease	0
K07396	putative protein-disulfide isomerase	0
K07397	putative redox protein	0
K07398	conserved protein with predicted RNA binding PUA domain	0
K07399	cytochrome c biogenesis protein	0
K07400	Fe/S biogenesis protein NfuA	0
K07401	selenoprotein W-related protein	0
K07402	xanthine dehydrogenase accessory factor	0
K07403	membrane-bound serine protease (ClpP class)	0
K07404	6-phosphogluconolactonase [EC:3.1.1.31]	6
K07405	alpha-amylase [EC:3.2.1.1]	2
K07406	alpha-galactosidase [EC:3.2.1.22]	5
K07407	alpha-galactosidase [EC:3.2.1.22]	5
K07408	cytochrome P450 family 1 subfamily A polypeptide 1 [EC:1.14.14.1]	7
K07409	cytochrome P450 family 1 subfamily A polypeptide 2 [EC:1.14.14.1]	10
K07410	cytochrome P450 family 1 subfamily B polypeptide 1 [EC:1.14.14.1]	6
K07411	cytochrome P450 family 2 subfamily A [EC:1.14.14.1]	2
K07412	cytochrome P450 family 2 subfamily B [EC:1.14.14.1]	5
K07413	cytochrome P450 family 2 subfamily C [EC:1.14.14.1]	8
K07414	cytochrome P450 family 2 subfamily D [EC:1.14.14.1]	2
K07415	cytochrome P450 family 2 subfamily E polypeptide 1 [EC:1.14.13.-]	9
K07416	cytochrome P450 family 2 subfamily F [EC:1.14.14.1]	1
K07417	cytochrome P450 family 2 subfamily G	0
K07418	cytochrome P450 family 2 subfamily J [EC:1.14.14.1]	7
K07419	vitamin D 25-hydroxylase [EC:1.14.14.24]	2
K07420	cytochrome P450 family 2 subfamily S polypeptide 1 [EC:1.14.14.1]	3
K07421	cytochrome P450 family 2 subfamily T	0
K07422	cytochrome P450 family 2 subfamily U polypeptide 1	2
K07423	cytochrome P450 family 2 subfamily W polypeptide 1	0
K07424	cytochrome P450 family 3 subfamily A [EC:1.14.14.1]	5
K07425	alkane 1-monooxygenase [EC:1.14.15.3]	7
K07426	cytochrome P450 family 4 subfamily B polypeptide 1 [EC:1.14.14.1]	0
K07427	cytochrome P450 family 4 subfamily V	0
K07428	cytochrome P450 family 4 subfamily X [EC:1.14.14.1]	1
K07429	cytochrome P450 family 4 subfamily Z [EC:1.14.14.1]	0
K07430	25/26-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.29]	2
K07431	sterol 12-alpha-hydroxylase [EC:1.14.18.8 1.14.13.96]	3
K07432	beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]	3
K07433	steroid 11beta-monooxygenase / corticosterone 18-monooxygenase [EC:1.14.15.4 1.14.15.5]	3
K07434	aromatase [EC:1.14.14.14]	3
K07435	cytochrome P450 family 20 subfamily A	0
K07436	vitamin D3 24-hydroxylase [EC:1.14.15.16]	4
K07437	cytochrome P450 family 26 subfamily A	2
K07438	calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase) [EC:1.14.15.18]	4
K07439	24-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.26]	1
K07440	cholesterol 24-hydroxylase [EC:1.14.14.25]	1
K07441	beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]	3
K07442	tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]	0
K07443	methylated-DNA-protein-cysteine methyltransferase related protein	0
K07444	putative N6-adenine-specific DNA methylase [EC:2.1.1.-]	0
K07445	putative DNA methylase	0
K07446	tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]	0
K07447	putative holliday junction resolvase [EC:3.1.-.-]	0
K07448	restriction system protein	0
K07449	similar to archaeal holliday junction resolvase and Mrr protein	0
K07450	putative resolvase	0
K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	0
K07452	5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	0
K07453	putative restriction endonuclease	0
K07454	putative restriction endonuclease	0
K07455	recombination protein RecT	0
K07456	DNA mismatch repair protein MutS2	1
K07457	endonuclease III related protein	0
K07458	DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]	0
K07459	putative ATP-dependent endonuclease of the OLD family	0
K07460	putative endonuclease	0
K07461	putative endonuclease	0
K07462	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	3
K07463	archaea-specific RecJ-like exonuclease	0
K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	0
K07465	putative RecB family exonuclease	0
K07466	replication factor A1	5
K07467	phage replication initiation protein	0
K07468	putative ATP-dependent DNA ligase [EC:6.5.1.1]	0
K07469	aldehyde oxidoreductase [EC:1.2.99.7]	0
K07470	DNA gyrase inhibitor	0
K07471	probable transcriptional regulator	0
K07472	TBP-interacting protein	0
K07473	DNA-damage-inducible protein J	0
K07474	phage terminase small subunit	0
K07475	CRISPR-associated endonuclease Cas3-HD [EC:3.1.-.-]	0
K07476	toprim domain protein	0
K07477	translin	0
K07478	putative ATPase	0
K07479	putative DNA topoisomerase	0
K07480	insertion element IS1 protein InsB	0
K07481	transposase, IS5 family	0
K07482	transposase, IS30 family	0
K07483	transposase	0
K07484	transposase	0
K07485	transposase	0
K07486	transposase	0
K07487	transposase	0
K07488	transposase	0
K07489	transposase	0
K07490	ferrous iron transport protein C	0
K07491	putative transposase	0
K07492	putative transposase	0
K07493	putative transposase	0
K07494	putative transposase	0
K07495	putative transposase	0
K07496	putative transposase	0
K07497	putative transposase	0
K07498	putative transposase	0
K07499	putative transposase	0
K07500	DNA endonuclease	0
K07501	3-5 exonuclease	0
K07502	uncharacterized protein	0
K07503	endonuclease [EC:3.1.-.-]	0
K07504	predicted type IV restriction endonuclease	0
K07505	regulatory protein RepA	0
K07506	AraC family transcriptional regulator	0
K07507	putative Mg2+ transporter-C (MgtC) family protein	0
K07508	acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	7
K07509	acetyl-CoA acyltransferase [EC:2.3.1.16]	7
K07511	enoyl-CoA hydratase [EC:4.2.1.17]	16
K07512	mitochondrial trans-2-enoyl-CoA reductase [EC:1.3.1.38]	3
K07513	acetyl-CoA acyltransferase 1 [EC:2.3.1.16]	10
K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]	17
K07515	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]	17
K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	7
K07517	Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	1
K07518	hydroxybutyrate-dimer hydrolase [EC:3.1.1.22]	1
K07520	actin-binding LIM protein	1
K07521	netrin receptor unc-5	1
K07522	netrin-G1	2
K07523	netrin-G1 ligand	2
K07524	regulator of G-protein signalling 3	1
K07525	neuronal guanine nucleotide exchange factor	1
K07526	SLIT-ROBO Rho GTPase activating protein	1
K07527	tyrosine-protein kinase Fes/Fps [EC:2.7.10.2]	1
K07528	dihydropyrimidinase-like 2	1
K07529	dihydropyrimidinase-like 5	1
K07530	Ras homolog gene family, member D	1
K07531	Rho family GTPase 1	1
K07532	Rho guanine nucleotide exchange factor 12	9
K07533	foldase protein PrsA [EC:5.2.1.8]	0
K07534	cyclohex-1-ene-1-carboxyl-CoA hydratase [EC:4.2.1.-]	3
K07535	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase [EC:1.1.1.-]	3
K07536	2-ketocyclohexanecarboxyl-CoA hydrolase [EC:3.1.2.-]	3
K07537	cyclohexa-1,5-dienecarbonyl-CoA hydratase [EC:4.2.1.100]	4
K07538	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase [EC:1.1.1.368]	4
K07539	6-oxocyclohex-1-ene-carbonyl-CoA hydrolase [EC:3.7.1.21]	4
K07540	benzylsuccinate synthase [EC:4.1.99.11]	4
K07541	phosphatidylinositol glycan, class X	2
K07542	phosphatidylinositol glycan, class V [EC:2.4.1.-]	2
K07543	benzylsuccinate CoA-transferase BbsE subunit [EC:2.8.3.15]	4
K07544	benzylsuccinate CoA-transferase BbsF subunit [EC:2.8.3.15]	4
K07545	(R)-benzylsuccinyl-CoA dehydrogenase [EC:1.3.8.3]	4
K07546	E-phenylitaconyl-CoA hydratase [EC:4.2.1.-]	4
K07547	2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsC subunit [EC:1.1.1.35]	4
K07548	2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsD subunit [EC:1.1.1.35]	4
K07549	benzoylsuccinyl-CoA thiolase BbsA subunit [EC:2.3.1.-]	4
K07550	benzoylsuccinyl-CoA thiolase BbsB subunit [EC:2.3.1.-]	4
K07552	MFS transporter, DHA1 family, multidrug resistance protein	0
K07553	beta-1,4-galactosyltransferase 6 [EC:2.4.1.274]	2
K07554	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s	0
K07555	ATP synthase mitochondrial F1 complex assembly factor 1	0
K07556	ATP synthase mitochondrial F1 complex assembly factor 2	0
K07557	archaeosine synthase [EC:2.6.1.97]	0
K07558	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]	0
K07559	putative RNA 2-phosphotransferase [EC:2.7.1.-]	0
K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	0
K07561	2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]	0
K07562	nonsense-mediated mRNA decay protein 3	2
K07565	60S ribosome subunit biogenesis protein NIP7	0
K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	0
K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	0
K07569	RNA-binding protein	0
K07570	general stress protein 13	0
K07571	S1 RNA binding domain protein	0
K07572	putative nucleotide binding protein	0
K07573	exosome complex component CSL4	1
K07574	RNA-binding protein	0
K07575	PUA domain protein	0
K07576	metallo-beta-lactamase family protein	0
K07577	putative mRNA 3-end processing factor	0
K07578	homologs of the eukaryotic argonaute protein	0
K07579	putative methylase	0
K07580	Zn-ribbon RNA-binding protein	0
K07581	RNA-binding protein	0
K07583	tRNA pseudouridine synthase 10 [EC:5.4.99.25]	0
K07584	uncharacterized protein	0
K07585	tRNA methyltransferase	0
K07586	uncharacterized protein	0
K07587	O-phosphoseryl-tRNA synthetase [EC:6.1.1.27]	1
K07588	LAO/AO transport system kinase [EC:2.7.-.-]	0
K07589	D-erythro-7,8-dihydroneopterin triphosphate epimerase [EC:5.1.99.7]	1
K07590	large subunit ribosomal protein L7A	1
K07591	threonine dehydratase operon activator protein	0
K07592	LysR family transcriptional regulator, tdc operon transcriptional activator	0
K07593	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 2	8
K07594	insulin promoter factor 1	3
K07595	transcription factor MAFA	2
K07596	desmoglein 1	1
K07597	desmoglein 2	1
K07598	desmoglein 3	0
K07599	desmoglein 4	0
K07600	desmocollin 1	0
K07601	desmocollin 2	1
K07602	desmocollin 3	0
K07603	collagen, type XVII, alpha	1
K07604	type I keratin, acidic	1
K07605	type II keratin, basic	0
K07606	vimentin	2
K07607	peripherin	1
K07608	internexin neuronal intermediate filament protein, alpha	0
K07609	nestin	0
K07610	desmin	3
K07611	lamin B	2
K07612	gap junction alpha-3 protein	0
K07613	gap junction alpha-4 protein	0
K07614	gap junction alpha-5 protein	0
K07615	gap junction alpha-6 protein	0
K07616	gap junction gamma-1 protein	0
K07617	gap junction alpha-8 protein	0
K07618	gap junction alpha-9 protein	0
K07619	gap junction gamma-2 protein	0
K07620	gap junction beta-1 protein	0
K07621	gap junction beta-2 protein	0
K07622	gap junction beta-3 protein	0
K07623	gap junction beta-4 protein	0
K07624	gap junction beta-5 protein	0
K07625	gap junction beta-6 protein	0
K07626	gap junction beta-7 protein	0
K07627	gap junction delta-3 protein	0
K07628	gap junction gamma-3 protein	0
K07630	gap junction delta-4 protein	0
K07631	gap junction alpha-10 protein	0
K07632	galactoside alpha-1,3-fucosyltransferase 4 [EC:2.4.1.-]	3
K07633	galactoside alpha-1,3-fucosyltransferase 5 [EC:2.4.1.65]	2
K07634	galactoside alpha-1,3-fucosyltransferase 6 [EC:2.4.1.65]	2
K07635	galactoside alpha-1,3-fucosyltransferase 7 [EC:2.4.1.-]	2
K07636	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	1
K07637	two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]	2
K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	2
K07639	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	1
K07640	two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]	2
K07641	two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]	1
K07642	two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]	1
K07643	two-component system, OmpR family, sensor histidine kinase BasS [EC:2.7.13.3]	2
K07644	two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	1
K07645	two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]	2
K07646	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	1
K07647	two-component system, OmpR family, sensor histidine kinase TorS [EC:2.7.13.3]	1
K07648	two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]	2
K07649	two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]	1
K07650	two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]	1
K07651	two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]	1
K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	1
K07653	two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]	1
K07654	two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]	1
K07655	two-component system, OmpR family, sensor histidine kinase PrrB [EC:2.7.13.3]	1
K07656	two-component system, OmpR family, sensor histidine kinase TrcS [EC:2.7.13.3]	1
K07657	two-component system, OmpR family, phosphate regulon response regulator PhoB	1
K07658	two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	1
K07659	two-component system, OmpR family, phosphate regulon response regulator OmpR	2
K07660	two-component system, OmpR family, response regulator PhoP	2
K07661	two-component system, OmpR family, response regulator RstA	1
K07662	two-component system, OmpR family, response regulator CpxR	2
K07663	two-component system, OmpR family, catabolic regulation response regulator CreB	1
K07664	two-component system, OmpR family, response regulator BaeR	1
K07665	two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	1
K07666	two-component system, OmpR family, response regulator QseB	2
K07667	two-component system, OmpR family, KDP operon response regulator KdpE	2
K07668	two-component system, OmpR family, response regulator VicR	1
K07669	two-component system, OmpR family, response regulator MprA	1
K07670	two-component system, OmpR family, response regulator MtrA	1
K07671	two-component system, OmpR family, response regulator PrrA	1
K07672	two-component system, OmpR family, response regulator TrcR	1
K07673	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]	1
K07674	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]	1
K07675	two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]	1
K07676	two-component system, NarL family, sensor histidine kinase RcsD [EC:2.7.13.3]	2
K07677	two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]	2
K07678	two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	4
K07679	two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	2
K07680	two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]	2
K07681	two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS [EC:2.7.13.3]	1
K07682	two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]	1
K07683	two-component system, NarL family, sensor histidine kinase NreB [EC:2.7.13.3]	1
K07684	two-component system, NarL family, nitrate/nitrite response regulator NarL	1
K07685	two-component system, NarL family, nitrate/nitrite response regulator NarP	1
K07686	two-component system, NarL family, uhpT operon response regulator UhpA	1
K07687	two-component system, NarL family, captular synthesis response regulator RcsB	2
K07688	two-component system, NarL family, response regulator, fimbrial Z protein, FimZ	1
K07689	two-component system, NarL family, invasion response regulator UvrY	4
K07690	two-component system, NarL family, response regulator EvgA	2
K07691	two-component system, NarL family, competent response regulator ComA	2
K07692	two-component system, NarL family, response regulator DegU	2
K07693	two-component system, NarL family, response regulator DesR	1
K07694	two-component system, NarL family, vancomycin resistance associated response regulator VraR	1
K07695	two-component system, NarL family, response regulator DevR	1
K07696	two-component system, NarL family, response regulator NreC	1
K07697	two-component system, sporulation sensor kinase B [EC:2.7.13.3]	1
K07698	two-component system, sporulation sensor kinase C [EC:2.7.13.3]	1
K07699	two-component system, response regulator, stage 0 sporulation protein A	2
K07700	two-component system, CitB family, cit operon sensor histidine kinase CitA [EC:2.7.13.3]	1
K07701	two-component system, CitB family, sensor histidine kinase DcuS [EC:2.7.13.3]	1
K07702	two-component system, CitB family, response regulator CitB	1
K07703	two-component system, CitB family, response regulator DcuR	1
K07704	two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]	1
K07705	two-component system, LytTR family, response regulator LytT	1
K07706	two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]	2
K07707	two-component system, LytTR family, response regulator AgrA	2
K07708	two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]	1
K07709	two-component system, NtrC family, sensor histidine kinase HydH [EC:2.7.13.3]	1
K07710	two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]	1
K07711	two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]	2
K07712	two-component system, NtrC family, nitrogen regulation response regulator GlnG	1
K07713	two-component system, NtrC family, response regulator HydG	1
K07714	two-component system, NtrC family, response regulator AtoC	1
K07715	two-component system, NtrC family, response regulator GlrR	2
K07716	two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]	2
K07717	two-component system, sensor histidine kinase YcbA [EC:2.7.13.3]	1
